Date,Year,Avg Score,Avg Quality,Avg Duration,Avg Sleep Need,Avg Bedtime,Avg Wake Time,Stress,Avg Resting Heart Rate,Avg High Heart Rate,Steps,Intensity Minutes
Oct 9-15,2025,69,Fair,6h 15min,8h 47min,1:22 AM,7:47 AM,36,64,113,11623,164
Oct 2-8,2025,67,Fair,5h 52min,8h 26min,12:26 AM,6:33 AM,38,62,124,20351,54
Sep 25 - Oct 1,2025,48,Poor,4h 8min,8h 43min,2:51 AM,7:18 AM,38,64,126,20464,117
Sep 18-24,2025,73,Fair,6h 50min,8h 39min,12:43 AM,8:22 AM,35,59,135,30656,64
Sep 11-17,2025,65,Fair,6h 21min,8h 51min,12:58 AM,7:42 AM,40,62,137,29369,291
Sep 4-10,2025,69,Fair,6h 42min,8h 43min,1:31 AM,8:53 AM,43,63,151,35425,665
Aug 28 - Sep 3,2025,71,Fair,6h 3min,8h 10min,3:34 AM,10:41 AM,47,63,147,34880,110
Aug 21-27,2025,79,Fair,6h 37min,8h 30min,5:08 AM,11:53 AM,40,59,123,13767,72
Aug 14-20,2025,83,Good,6h 47min,8h 9min,4:33 AM,11:34 AM,37,57,122,13459,9
Aug 7-13,2025,72,Fair,6h 23min,8h 30min,4:27 AM,11:00 AM,29,57,117,11764,292
Jul 31 - Aug 6,2025,75,Fair,6h 27min,8h 24min,3:22 AM,10:14 AM,38,62,131,25658,171
Jul 24-30,2025,55,Poor,4h 59min,8h 29min,4:49 AM,10:25 AM,50,62,126,16940,34
Jul 17-23,2025,80,Good,7h 7min,8h 30min,2:06 AM,9:24 AM,40,62,121,10804,6
Jul 10-16,2025,71,Fair,6h 51min,8h 41min,1:37 AM,9:24 AM,41,63,116,11576,113
Jul 3-9,2025,66,Fair,5h 56min,8h 36min,2:03 AM,8:21 AM,36,60,126,32194,6
Jun 26 - Jul 2,2025,76,Fair,6h 43min,8h 10min,1:23 AM,8:45 AM,31,62,114,16126,281
Jun 19-25,2025,79,Fair,7h 6min,8h 27min,2:42 AM,10:06 AM,32,62,145,32896,52
Jun 12-18,2025,75,Fair,6h 56min,8h 20min,1:03 AM,8:19 AM,37,66,124,19440,214
Jun 5-11,2025,77,Fair,7h 12min,8h 46min,1:21 AM,8:44 AM,37,64,142,44706,327
May 29 - Jun 4,2025,67,Fair,6h 3min,8h 44min,3:03 AM,9:15 AM,40,65,138,50355,245
May 22-28,2025,78,Fair,7h 6min,8h 16min,1:24 AM,8:44 AM,39,66,138,42486,193
May 15-21,2025,68,Fair,5h 38min,8h 17min,1:49 AM,7:44 AM,35,63,143,35105,274
May 8-14,2025,68,Fair,6h 47min,8h 19min,1:40 AM,8:42 AM,36,62,138,27929,559
May 1-7,2025,74,Fair,7h 56min,8h 40min,11:49 PM,7:59 AM,37,62,144,63988,389
Apr 24-30,2025,48,Poor,4h 11min,8h 27min,10:45 PM,3:23 AM,34,62,126,38525,232
Apr 17-23,2025,51,Poor,4h 43min,8h 52min,8:49 AM,1:47 PM,49,64,137,26206,265
Apr 10-16,2025,65,Fair,5h 42min,7h 56min,3:46 AM,9:48 AM,32,59,133,18453,221
Apr 3-9,2025,52,Poor,4h 2min,8h 0min,8:30 AM,12:42 PM,35,63,149,16932,289
Mar 27 - Apr 2,2025,73,Fair,6h 16min,8h 21min,4:15 AM,10:35 AM,44,61,136,24817,322
Mar 20-26,2025,74,Fair,6h 41min,8h 29min,4:22 AM,11:13 AM,35,58,124,16771,128
Mar 6-12,2025,73,Fair,6h 31min,9h 0min,3:20 AM,10:03 AM,31,57,122,8729,53
Feb 27 - Mar 5,2025,69,Fair,5h 51min,8h 3min,7:05 AM,1:06 PM,35,60,124,6329,24
Feb 20-26,2025,59,Poor,5h 21min,8h 13min,3:23 AM,9:28 AM,54,58,114,7978,500
Feb 13-19,2025,79,Fair,6h 46min,8h 30min,1:25 AM,8:15 AM,31,59,139,41280,314
Feb 6-12,2025,70,Fair,6h 47min,8h 23min,12:52 AM,7:52 AM,34,57,128,29429,54
Jan 30 - Feb 5,2025,71,Fair,6h 31min,8h 36min,1:12 AM,7:58 AM,25,57,113,12874,306
Jan 23-29,2025,84,Good,7h 27min,8h 4min,12:02 AM,7:39 AM,33,61,127,56067,446
Jan 16-22,2025,66,Fair,6h 39min,8h 39min,10:31 PM,5:45 AM,34,62,132,47682,337
Jan 9-15,2025,64,Fair,5h 14min,7h 57min,6:29 AM,11:53 AM,36,60,119,31345,248
Jan 2-8,2025,67,Fair,5h 31min,8h 54min,10:22 AM,4:06 PM,33,59,136,31610,443
12/26/2025 -  2024 - Jan 1,2024-2025,60,Fair,5h 2min,8h 6min,6:53 AM,12:07 PM,38,60,139,44782,366
Dec 19-25,2024,75,Fair,6h 39min,8h 21min,6:01 AM,12:45 PM,37,58,134,33494,193
Dec 12-18,2024,61,Fair,5h 37min,8h 29min,4:07 AM,10:07 AM,33,59,154,31893,38
Dec 5-11,2024,74,Fair,6h 43min,8h 37min,5:07 AM,12:14 PM,38,60,127,16591,112
Nov 28 - Dec 4,2024,66,Fair,5h 40min,8h 44min,7:12 AM,1:03 PM,34,63,,16996,166
Nov 21-27,2024,66,Fair,5h 53min,8h 7min,3:14 AM,10:02 AM,34,63,,26626,110
Nov 14-20,2024,75,Fair,7h 9min,8h 12min,1:52 AM,9:17 AM,35,63,,36546,198
Nov 7-13,2024,75,Fair,7h 19min,8h 31min,12:06 AM,7:58 AM,32,59,,39355,311
Oct 31 - Nov 6,2024,76,Fair,7h 10min,8h 20min,12:42 AM,8:08 AM,33,60,,34720,336
Oct 24-30,2024,70,Fair,6h 16min,8h 40min,2:24 AM,8:56 AM,31,63,,18343,527
Oct 17-23,2024,71,Fair,6h 38min,8h 54min,1:19 AM,8:19 AM,31,63,,35376,328
